Bandeja,Date,Temperature
Bandeja 1,2015-06-04 17:24:00,45.11625897
Bandeja 1,2015-06-04 17:39:00,46.41433246
Bandeja 1,2015-06-04 17:54:00,46.35954567
Bandeja 1,2015-06-04 18:09:00,45.86924358
Bandeja 1,2015-06-04 18:24:00,47.974375
Bandeja 1,2015-06-04 18:39:00,47.02114748
Bandeja 1,2015-06-04 18:54:00,48.20146727
Bandeja 1,2015-06-04 19:09:00,45.59898304
Bandeja 1,2015-06-04 19:24:00,47.35540815
Bandeja 1,2015-06-04 19:39:00,45.33021466
Bandeja 1,2015-06-04 19:54:00,42.11235136
Bandeja 1,2015-06-04 20:09:00,44.58540718
Bandeja 1,2015-06-04 20:24:00,42.82146796
Bandeja 1,2015-06-04 20:39:00,42.01181987
Bandeja 1,2015-06-04 20:54:00,42.06206198
Bandeja 1,2015-06-04 21:09:00,35.67757731
Bandeja 1,2015-06-04 21:24:00,33.2451457
Bandeja 1,2015-06-04 21:39:00,34.59000055
Bandeja 1,2015-06-04 21:54:00,32.48854326
Bandeja 1,2015-06-04 22:09:00,30.89459659
Bandeja 1,2015-06-04 22:24:00,30.1438851
Bandeja 1,2015-06-04 22:39:00,28.9070891
Bandeja 1,2015-06-04 22:54:00,28.24317285
Bandeja 1,2015-06-04 23:09:00,27.62196538
Bandeja 1,2015-06-04 23:24:00,26.99874604
Bandeja 1,2015-06-04 23:39:00,26.73091196
Bandeja 1,2015-06-04 23:54:00,26.37301367
Bandeja 1,2015-06-05 00:09:00,26.3282091
Bandeja 1,2015-06-05 00:24:00,26.73091196
Bandeja 1,2015-06-05 00:39:00,26.37301367
Bandeja 1,2015-06-05 00:54:00,25.96919697
Bandeja 1,2015-06-05 01:09:00,25.38343716
Bandeja 1,2015-06-05 01:24:00,24.7034616
Bandeja 1,2015-06-05 01:39:00,24.293125
Bandeja 1,2015-06-05 01:54:00,24.15592467
Bandeja 1,2015-06-05 02:09:00,24.06433645
Bandeja 1,2015-06-05 02:24:00,23.83493056
Bandeja 1,2015-06-05 02:39:00,24.06433645
Bandeja 1,2015-06-05 02:54:00,24.01850538
Bandeja 1,2015-06-05 03:09:00,24.2016822
Bandeja 1,2015-06-05 03:24:00,23.83493056
Bandeja 1,2015-06-05 03:39:00,23.69698121
Bandeja 1,2015-06-05 03:54:00,23.92676845
Bandeja 1,2015-06-05 04:09:00,23.60488452
Bandeja 1,2015-06-05 04:24:00,23.05002554
Bandeja 1,2015-06-05 04:39:00,23.23542233
Bandeja 1,2015-06-05 04:54:00,23.46654011
Bandeja 1,2015-06-05 05:09:00,23.60488452
Bandeja 1,2015-06-05 05:24:00,22.95715561
Bandeja 1,2015-06-05 05:39:00,22.49103214
Bandeja 1,2015-06-05 05:54:00,22.44425284
Bandeja 1,2015-06-05 06:09:00,22.39744245
Bandeja 1,2015-06-05 06:24:00,22.25682296
Bandeja 1,2015-06-05 06:39:00,22.25682296
Bandeja 1,2015-06-05 06:54:00,21.64409962
Bandeja 1,2015-06-05 07:09:00,21.35937966
Bandeja 1,2015-06-05 07:24:00,21.35937966
Bandeja 1,2015-06-05 07:39:00,21.0733894
Bandeja 1,2015-06-05 07:54:00,21.26419267
Bandeja 1,2015-06-05 08:09:00,21.78599556
Bandeja 1,2015-06-05 08:24:00,22.02181837
Bandeja 1,2015-06-05 08:39:00,22.3037277
Bandeja 1,2015-06-05 08:54:00,22.58449821
Bandeja 1,2015-06-05 09:09:00,22.53778054
Bandeja 1,2015-06-05 09:24:00,22.3506008
Bandeja 1,2015-06-05 09:39:00,22.20988641
Bandeja 1,2015-06-05 09:54:00,21.69143221
Bandeja 1,2015-06-05 10:09:00,21.54933167
Bandeja 1,2015-06-05 10:24:00,21.50189596
Bandeja 1,2015-06-05 10:39:00,21.26419267
Bandeja 1,2015-06-05 10:54:00,21.26419267
Bandeja 1,2015-06-05 11:09:00,21.50189596
Bandeja 1,2015-06-05 11:24:00,22.06888402
Bandeja 1,2015-06-05 11:39:00,22.95715561
Bandeja 1,2015-06-05 11:54:00,23.78897329
